9600,1
9601,0
9602,1
9603,0
9604,1
9605,0
9606,0
9607,1
9608,1
9609,0
9610,0
9611,0
9612,1
9613,0
9614,0
9615,0
9616,0
9617,0
9618,0
9619,0
9620,0
9621,0
9622,1
9623,0
9624,1
9625,1
9626,0
9627,0
9628,1
9629,0
9630,1
9631,0
9632,1
9633,1
9634,0
9635,0
9636,0
9637,1
9638,1
9639,0
9640,0
9641,0
9642,0
9643,0
9644,0
9645,0
9646,1
9647,0
9648,0
9649,0
9650,1
9651,0
9652,0
9653,0
9654,0
9655,1
9656,1
9657,0
9658,0
9659,0
9660,0
9661,1
9662,0
9663,1
9664,0
9665,0
9666,1
9667,0
9668,0
9669,1
9670,0
9671,1
9672,0
9673,1
9674,0
9675,0
9676,0
9677,1
9678,0
9679,1
9680,1
9681,0
9682,0
9683,0
9684,1
9685,0
9686,0
9687,1
9688,0
9689,1
9690,0
9691,0
9692,0
9693,0
9694,0
9695,0
9696,1
9697,0
9698,0
9699,0
9700,0
9701,1
9702,1
9703,0
9704,1
9705,1
9706,1
9707,0
9708,0
9709,1
9710,1
9711,0
9712,0
9713,1
9714,0
9715,0
9716,0
9717,1
9718,0
9719,0
9720,0
9721,1
9722,0
9723,0
9724,0
9725,0
9726,0
9727,0
9728,0
9729,1
9730,0
9731,0
9732,0
9733,0
9734,0
9735,0
9736,0
9737,0
9738,1
9739,0
9740,0
9741,0
9742,0
9743,0
9744,0
9745,1
9746,0
9747,0
9748,0
9749,0
9750,0
9751,0
9752,0
9753,1
9754,0
9755,0
9756,0
9757,0
9758,0
9759,0
9760,0
9761,1
9762,0
9763,0
9764,0
9765,0
9766,1
9767,0
9768,0
9769,0
9770,0
9771,0
9772,0
9773,0
9774,1
9775,0
9776,1
9777,1
9778,0
9779,0
9780,0
9781,0
9782,1
9783,0
9784,0
9785,1
9786,0
9787,0
9788,1
9789,1
9790,1
9791,0
9792,0
9793,0
9794,0
9795,1
9796,0
9797,0
9798,0
9799,0
9800,0
9801,1
9802,0
9803,0
9804,0
9805,0
9806,1
9807,0
9808,0
9809,0
9810,0
9811,0
9812,0
9813,0
9814,0
9815,0
9816,1
9817,0
9818,0
9819,0
9820,0
9821,0
9822,0
9823,0
9824,0
9825,0
9826,1
9827,1
9828,0
9829,1
9830,0
9831,0
9832,0
9833,0
9834,0
9835,0
9836,1
9837,0
9838,0
9839,0
9840,0
9841,0
9842,0
9843,0
9844,0
9845,1
9846,0
9847,0
9848,0
9849,0
9850,1
9851,0
9852,0
9853,1
9854,1
9855,1
9856,1
9857,0
9858,0
9859,1
9860,1
9861,0
9862,0
9863,0
9864,0
9865,0
9866,0
9867,0
9868,0
9869,0
9870,0
9871,1
9872,1
9873,1
9874,0
9875,1
9876,0
9877,0
9878,0
9879,1
9880,0
9881,1
9882,1
9883,0
9884,0
9885,0
9886,0
9887,1
9888,0
9889,1
9890,0
9891,0
9892,0
9893,0
9894,0
9895,0
9896,0
9897,0
9898,0
9899,0
9900,0
9901,0
9902,0
9903,1
9904,0
9905,0
9906,0
9907,1
9908,0
9909,0
9910,0
9911,0
9912,1
9913,0
9914,0
9915,0
9916,0
9917,0
9918,1
9919,0
9920,0
9921,0
9922,0
9923,0
9924,0
9925,0
9926,0
9927,1
9928,1
9929,0
9930,0
9931,1
9932,0
9933,0
9934,1
9935,0
9936,1
9937,0
9938,0
9939,0
9940,1
9941,1
9942,1
9943,0
9944,1
9945,0
9946,0
9947,1
9948,0
9949,1
9950,1
